start	end	text	parse_string	label
3.71	5.391	Act one, monkey in the middle.	(NP (NP (NN Act) (CD one)) (, ,) (NP (NP (NN monkey)) (PP (IN in) (NP (DT the) (NN middle)))) (. .))	('NP',)
3.71	4.19	Act one	(NP (NN Act) (CD one))	('NP',)
4.651	5.391	monkey in the middle	(NP (NP (NN monkey)) (PP (IN in) (NP (DT the) (NN middle))))	('NP',)
4.951	5.391	in the middle	(PP (IN in) (NP (DT the) (NN middle)))	('PP',)
5.051	5.391	the middle	(NP (DT the) (NN middle))	('NP',)
6.592	12.492	So there's some places where animals almost never go places that are designed by humans for humans	(S (RB So) (NP (EX there)) (VP (VBZ 's) (NP (NP (DT some) (NNS places)) (SBAR (WHADVP (WRB where)) (S (NP (NNS animals)) (ADVP (RB almost) (RB never)) (VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))))))))))))	('S',)
6.752	12.492	's some places where animals almost never go places that are designed by humans for humans	(VP (VBZ 's) (NP (NP (DT some) (NNS places)) (SBAR (WHADVP (WRB where)) (S (NP (NNS animals)) (ADVP (RB almost) (RB never)) (VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans)))))))))))))	('VP',)
6.892	12.492	some places where animals almost never go places that are designed by humans for humans	(NP (NP (DT some) (NNS places)) (SBAR (WHADVP (WRB where)) (S (NP (NNS animals)) (ADVP (RB almost) (RB never)) (VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))))))))))	('NP',)
6.892	7.342	some places	(NP (DT some) (NNS places))	('NP',)
7.401999999999999	12.492	where animals almost never go places that are designed by humans for humans	(SBAR (WHADVP (WRB where)) (S (NP (NNS animals)) (ADVP (RB almost) (RB never)) (VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans)))))))))))	('SBAR',)
7.542	12.492	animals almost never go places that are designed by humans for humans	(S (NP (NNS animals)) (ADVP (RB almost) (RB never)) (VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))))))))	('S',)
