word_idx	word	start	end	token	pos	dep	stop	sentence_id
0	Act	3.71	3.79	Act	NNP	ROOT	False	1
1	one,	3.99	4.19	one	CD	nummod	True	1
1	one,	3.99	4.19	,	,	punct	False	1
2	monkey	4.651	4.931	monkey	NN	appos	False	1
3	in	4.951	5.011	in	IN	prep	True	1
4	the	5.051	5.111	the	DT	det	True	1
5	middle.	5.151	5.391	middle	NN	pobj	False	1
5	middle.	5.151	5.391	.	.	punct	False	1
6	So	6.592	6.731999999999999	So	RB	advmod	True	2
7	there's	6.752	6.911999999999999	there	EX	expl	True	2
7	there's	6.752	6.911999999999999	's	VBZ	ROOT	True	2
8	some	6.892	7.052	some	DT	det	True	2
9	places	7.071999999999999	7.342	places	NNS	attr	False	2
10	where	7.401999999999999	7.502	where	WRB	advmod	True	2
11	animals	7.542	7.782	animals	NNS	nsubj	False	2
12	almost	7.901999999999999	8.081999999999999	almost	RB	advmod	True	2
13	never	8.161999999999999	8.411999999999999	never	RB	neg	True	2
14	go	8.452	8.681999999999999	go	VBP	relcl	True	2
15	places	9.572	9.862	places	NNS	dobj	False	2
16	that	9.862	9.932	that	WDT	nsubjpass	True	2
17	are	9.992	10.042	are	VBP	auxpass	True	2
18	designed	10.042	10.611999999999998	designed	VBN	relcl	False	2
19	by	10.732	10.962	by	IN	agent	True	2
20	humans	11.002	11.582	humans	NNS	pobj	False	2
21	for	11.692	11.882	for	IN	prep	True	2
22	humans	11.942	12.492	humans	NNS	pobj	False	2
23	This	13.092	13.312	This	DT	det	True	3
24	act	13.392	13.712	act	NN	nsubj	False	3
25	ends	14.142	14.372	ends	VBZ	relcl	False	3
26	up	14.432	14.532	up	RP	prt	True	3
27	in	14.572	14.602	in	IN	prep	True	3
28	a	14.622	14.652	a	DT	det	True	3
29	place	14.672	14.872	place	NN	pobj	False	3
30	like	14.872	15.012	like	IN	prep	False	3
31	that	15.012	15.322	that	DT	pobj	True	3
32	but	16.122	16.392	but	CC	cc	True	3
33	it	16.442	16.492	it	PRP	nsubj	True	3
34	starts	16.552	16.802	starts	VBZ	conj	False	3
35	about	16.822	16.972	about	RB	advmod	True	3
36	as	16.972	17.052	as	RB	advmod	True	3
37	far	17.092	17.232	far	RB	advmod	False	3
38	from	17.291999999999998	17.412	from	IN	prep	True	3
39	there	17.432	17.562	there	RB	pcomp	True	3
40	as	17.562	17.652	as	IN	mark	True	3
41	you	17.712	17.782	you	PRP	nsubj	True	3
42	can	17.782	17.902	can	MD	aux	True	3
43	get	17.902	18.162	get	VB	advcl	True	3
44	Dana	19.052	19.242	Dana	NNP	compound	False	4
45	Chivvis	19.242	19.542	Chivvis	NNP	nsubj	False	4
46	explains	19.562	20.072	explains	VBZ	ccomp	False	4
47	Our	21.2339279296875	21.3239279296875	Our	PRP$	poss	True	5
48	story	21.3239279296875	21.6139279296875	story	NN	nsubj	False	5
49	begins	21.6139279296875	21.9439279296875	begins	VBZ	ccomp	False	5
50	deep	21.9439279296875	22.1939279296875	deep	RB	advmod	False	5
51	in	22.1939279296875	22.2739279296875	in	IN	prep	True	5
52	the	22.293927929687506	22.3239279296875	the	DT	det	True	5
53	rainforests	22.3639279296875	23.0739279296875	rainforests	NNS	pobj	False	5
54	of	23.0939279296875	23.1939279296875	of	IN	prep	True	5
55	Indonesia	23.2139279296875	23.7739279296875	Indonesia	NNP	pobj	False	5
56	on	23.9139279296875	24.1039279296875	on	IN	prep	True	5
57	an	24.1139279296875	24.2139279296875	an	DT	det	True	5
58	island	24.2339279296875	24.4839279296875	island	NN	pobj	False	5
59	called	24.4839279296875	24.6739279296875	called	VBN	acl	False	5
60	Sulawesi	24.6739279296875	25.4239279296875	Sulawesi	NNP	oprd	False	5
61	A	26.1939279296875	26.2639279296875	A	DT	det	True	6
62	few	26.3039279296875	26.4839279296875	few	JJ	amod	True	6
63	years	26.4639279296875	26.7139279296875	years	NNS	npadvmod	False	6
64	ago	26.7339279296875	27.0839279296875	ago	RB	advmod	False	6
65	the	27.2539279296875	27.3239279296875	the	DT	det	True	6
66	photographer	27.3239279296875	27.8339279296875	photographer	NN	nsubj	False	6
67	David	27.8339279296875	28.0939279296875	David	NNP	compound	False	6
68	Slater	28.0939279296875	28.4439279296875	Slater	NNP	appos	False	6
69	traveled	28.4439279296875	28.8239279296875	traveled	VBD	ROOT	False	6
70	there	28.8239279296875	28.9839279296875	there	RB	advmod	True	6
71	from	28.9839279296875	29.1439279296875	from	IN	prep	True	6
72	his	29.1639279296875	29.2739279296875	his	PRP$	poss	True	6
73	home	29.293927929687506	29.4539279296875	home	NN	pobj	False	6
74	in	29.4539279296875	29.5239279296875	in	IN	prep	True	6
75	England	29.543927929687506	29.9639279296875	England	NNP	pobj	False	6
76	to	30.1639279296875	30.2539279296875	to	TO	aux	True	6
77	photograph	30.2539279296875	30.6839279296875	photograph	VB	advcl	False	6
78	a	30.6839279296875	30.723927929687505	a	DT	det	True	6
79	troop	30.723927929687505	30.9239279296875	troop	NN	dobj	False	6
80	of	30.9239279296875	31.0239279296875	of	IN	prep	True	6
81	monkeys	31.0239279296875	31.4439279296875	monkeys	NNS	pobj	False	7
82	I'd	31.8098279296875	31.9898279296875	I	PRP	nsubj	True	7
82	I'd	31.8098279296875	31.9898279296875	'd	MD	aux	True	7
83	gone	31.9898279296875	32.1298279296875	gone	VBN	relcl	False	7
84	a	32.1298279296875	32.1598279296875	a	DT	det	True	7
85	whole	32.1598279296875	32.3398279296875	whole	JJ	amod	True	7
86	day	32.3398279296875	32.6098279296875	day	NN	npadvmod	False	7
87	just	32.6098279296875	32.799827929687495	just	RB	advmod	True	7
88	following	32.799827929687495	33.1998279296875	following	VBG	advcl	False	7
89	them	33.1998279296875	33.439827929687496	them	PRP	dobj	True	7
90	Mm	33.6956279296875	33.8256279296875	Mm	UH	intj	False	7
91	into	33.8053279296875	33.9953279296875	into	IN	prep	True	7
92	the	33.9953279296875	34.0553279296875	the	DT	det	True	7
93	thick	34.0953279296875	34.3153279296875	thick	JJ	pobj	False	7
94	of	34.3353279296875	34.3953279296875	of	IN	prep	True	7
95	the	34.3953279296875	34.4553279296875	the	DT	det	True	7
96	forest	34.4553279296875	35.0753279296875	forest	NN	pobj	False	7
97	through	35.5153279296875	35.6753279296875	through	IN	prep	True	7
98	the	35.6753279296875	35.7453279296875	the	DT	det	True	7
99	tangles	35.7453279296875	36.3853279296875	tangles	NNS	pobj	False	7
100	and	36.4253279296875	36.545327929687495	and	CC	cc	True	7
101	the	36.545327929687495	36.6653279296875	the	DT	det	True	7
102	vines	36.7053279296875	37.5353279296875	vines	NNS	conj	False	7
103	and	37.5353279296875	37.6453279296875	and	CC	cc	True	7
104	the	37.685327929687496	38.01532792968749	the	DT	det	True	7
105	muddy	38.295327929687495	38.5253279296875	muddy	JJ	amod	False	7
106	undergrowth	38.58532792968749	39.33532792968749	undergrowth	NN	conj	False	7
107	and	39.33532792968749	39.44532792968749	and	CC	cc	True	7
108	the	39.4653279296875	39.6353279296875	the	DT	det	True	7
109	cobwebs	39.8153279296875	40.4653279296875	cobwebs	NN	conj	False	7
110	and	40.4653279296875	40.5653279296875	and	CC	cc	True	7
111	the	40.5653279296875	40.685327929687496	the	DT	det	True	7
112	poisonous	41.185327929687496	41.8153279296875	poisonous	JJ	amod	False	7
113	snakes	41.795327929687495	42.405327929687495	snakes	NNS	conj	False	7
114	and	42.405327929687495	42.58532792968749	and	CC	cc	True	7
115	Oh	42.37532792968749	42.62532792968749	Oh	UH	intj	False	8
116	man	42.6053279296875	42.9153279296875	man	UH	intj	False	8
117	you	43.0942279296875	43.2342279296875	you	PRP	nsubj	True	8
118	name	43.2342279296875	43.4942279296875	name	VBP	ROOT	True	8
119	it	43.534227929687496	43.6342279296875	it	PRP	dobj	True	8
120	I	43.65422792968749	43.754227929687495	I	PRP	nsubj	True	9
121	had	43.754227929687495	43.8842279296875	had	VBD	ROOT	True	9
122	to	43.8842279296875	44.04422792968749	to	TO	dative	True	9
123	I	44.144227929687496	44.254227929687495	I	PRP	nsubj	True	10
124	had	44.254227929687495	44.3842279296875	had	VBD	ccomp	True	10
125	to	44.3842279296875	44.4842279296875	to	TO	aux	True	10
126	go	44.4842279296875	44.7042279296875	go	VB	xcomp	True	10
127	through	44.7442279296875	44.9842279296875	through	IN	prep	True	10
128	it	45.0242279296875	45.15422792968749	it	PRP	pobj	True	10
129	Uh	45.9142279296875	46.15422792968749	Uh	UH	intj	False	10
130	and	46.15422792968749	46.3042279296875	and	CC	cc	True	10
131	it	46.364227929687495	46.4242279296875	it	PRP	nsubj	True	10
132	was	46.40422792968749	46.504227929687495	was	VBD	ROOT	True	10
133	just	46.504227929687495	46.684227929687495	just	RB	advmod	True	10
134	so	46.684227929687495	46.83422792968749	so	RB	advmod	True	10
135	amazing	46.83422792968749	47.3142279296875	amazing	JJ	acomp	False	10
136	just	47.3542279296875	47.5642279296875	just	RB	advmod	True	10
137	to	47.5642279296875	47.644227929687496	to	TO	aux	True	10
138	be	47.644227929687496	47.97422792968749	be	VB	xcomp	True	10
139	to	48.0542279296875	48.15422792968749	to	TO	aux	True	10
140	be	48.1742279296875	48.54422792968749	be	VB	xcomp	True	10
141	like	48.644227929687496	48.9442279296875	like	IN	prep	False	10
142	a	48.9442279296875	48.97422792968749	a	DT	det	True	10
143	monkey	48.9942279296875	49.33422792968749	monkey	NN	pobj	False	10
144	I	49.3542279296875	49.504227929687495	I	PRP	ROOT	True	11
145	I	49.5242279296875	49.684227929687495	I	PRP	advmod	True	11
146	I	49.7042279296875	49.864227929687495	I	PRP	nsubj	True	11
147	was	49.8842279296875	50.0642279296875	was	VBD	ROOT	True	11
148	a	50.1042279296875	50.144227929687496	a	DT	det	True	11
149	monkey	50.1642279296875	50.6342279296875	monkey	NN	attr	False	11
150	honestly	50.65422792968749	51.1742279296875	honestly	RB	advmod	False	11
151	I	51.9441279296875	52.124127929687496	I	PRP	npadvmod	True	12
152	I	52.124127929687496	52.2641279296875	I	PRP	nsubj	True	12
153	had	52.2841279296875	52.414127929687496	had	VBD	ccomp	True	12
154	I	52.42412792968749	52.5341279296875	I	PRP	nsubj	True	12
155	met	52.554127929687496	52.7141279296875	met	VBN	ccomp	False	12
156	monkeys	52.7141279296875	53.0041279296875	monkeys	NNS	dobj	False	12
157	before	53.0041279296875	53.414127929687496	before	RB	advmod	True	12
158	like	53.4341279296875	53.6141279296875	like	UH	intj	False	12
159	I	53.5741279296875	53.664127929687496	I	PRP	nsubj	True	12
160	said	53.704127929687495	54.0041279296875	said	VBD	ROOT	False	12
161	mean	54.0341279296875	54.1841279296875	mean	VB	xcomp	False	12
162	all	54.2241279296875	54.374127929687496	all	RB	advmod	True	12
163	over	54.414127929687496	54.56412792968749	over	IN	prep	True	12
164	the	54.5441279296875	54.6141279296875	the	DT	det	True	12
165	world	54.6141279296875	54.9741279296875	world	NN	pobj	False	12
166	And	55.5841279296875	55.734127929687496	And	CC	cc	True	13
167	uh	55.7541279296875	55.88412792968749	uh	UH	intj	False	13
168	you	55.9041279296875	55.99412792968749	you	PRP	nsubj	True	13
169	know	55.9741279296875	56.094127929687495	know	VBP	parataxis	False	13
170	I	56.1141279296875	56.17412792968749	I	PRP	nsubj	True	13
171	know	56.1941279296875	56.3341279296875	know	VBP	ROOT	False	13
172	a	56.2941279296875	56.4041279296875	a	DT	det	True	13
173	little	56.3641279296875	56.56412792968749	little	JJ	amod	False	13
174	bit	56.5841279296875	56.664127929687496	bit	NN	dobj	False	13
175	about	56.7241279296875	56.99412792968749	about	IN	prep	True	13
176	monkey	57.0141279296875	57.374127929687496	monkey	NN	compound	False	13
177	monkey	57.4341279296875	57.67412792968749	monkey	NN	compound	False	13
178	etiquette	57.7141279296875	58.304127929687496	etiquette	NN	pobj	False	13
179	and	58.304127929687496	58.5741279296875	and	CC	cc	True	13
180	showing	58.6141279296875	58.874127929687496	showing	VBG	conj	False	13
181	your	58.914127929687496	59.024127929687495	your	PRP$	poss	True	13
182	teeth	59.2941279296875	59.664127929687496	teeth	NNS	dobj	False	13
183	not	59.664127929687496	59.804127929687496	not	RB	neg	True	13
184	to	59.804127929687496	59.9041279296875	to	TO	aux	True	13
185	show	59.92412792968749	60.13412792968749	show	VB	xcomp	True	13
186	your	60.13412792968749	60.2241279296875	your	PRP$	poss	True	13
187	teeth	60.2241279296875	60.49412792968749	teeth	NNS	dobj	False	13
188	not	60.49412792968749	60.6441279296875	not	RB	neg	True	13
189	to	60.6441279296875	60.734127929687496	to	TO	aux	True	13
190	stare	60.734127929687496	60.99412792968749	stare	VB	xcomp	False	13
191	them	61.0141279296875	61.1141279296875	them	PRP	dobj	True	13
192	in	61.1141279296875	61.204127929687495	in	IN	prep	True	13
193	the	61.204127929687495	61.2641279296875	the	DT	det	True	13
194	face	61.2841279296875	61.804127929687496	face	NN	pobj	False	13
195	Yeah	62.2841279296875	62.56412792968749	Yeah	UH	ROOT	False	14
196	I	62.5441279296875	62.6141279296875	I	PRP	nsubj	True	14
197	this	62.7941279296875	62.9441279296875	this	DT	nsubj	True	14
198	is	62.984127929687496	63.0841279296875	is	VBZ	ROOT	True	14
199	this	63.1041279296875	63.2841279296875	this	DT	nsubj	True	14
200	is	63.2841279296875	63.3641279296875	is	VBZ	ccomp	True	14
201	one	63.4041279296875	63.524127929687495	one	CD	attr	True	14
202	of	63.5441279296875	63.63412792968749	of	IN	prep	True	14
203	the	63.6141279296875	63.67412792968749	the	DT	det	True	14
204	secrets	63.67412792968749	64.2041279296875	secrets	NNS	pobj	False	14
205	actually	64.2441279296875	64.5541279296875	actually	RB	advmod	False	14
206	of	64.5741279296875	64.6541279296875	of	IN	prep	True	14
207	being	64.6741279296875	64.8341279296875	being	VBG	pcomp	True	14
208	able	64.8341279296875	64.9941279296875	able	JJ	acomp	False	14
209	to	65.0341279296875	65.1341279296875	to	TO	aux	True	14
210	get	65.1941279296875	65.3841279296875	get	VB	xcomp	True	14
211	get	65.4841279296875	65.6641279296875	get	VB	xcomp	True	14
212	get	65.7641279296875	65.8841279296875	get	VB	xcomp	True	14
213	good	65.9641279296875	66.10412792968751	good	JJ	amod	False	14
214	photography	66.1641279296875	66.8741279296875	photography	NN	nsubj	False	14
215	is	66.8741279296875	67.0241279296875	is	VBZ	aux	True	14
216	making	67.0241279296875	67.3341279296875	making	VBG	ccomp	False	14
217	the	67.3341279296875	67.4041279296875	the	DT	det	True	14
218	animal	67.4241279296875	67.6641279296875	animal	NN	nsubj	False	14
219	relaxed	67.7241279296875	68.2041279296875	relaxed	VBN	ccomp	False	14
220	There	68.9171279296875	69.0271279296875	There	EX	expl	True	15
221	was	69.0471279296875	69.1571279296875	was	VBD	conj	True	15
222	one	69.2171279296875	69.4771279296875	one	CD	nummod	True	15
223	shot	69.4971279296875	69.8771279296875	shot	NN	attr	False	15
224	David	69.8771279296875	70.2071279296875	David	NNP	nsubj	False	15
225	really	70.2871279296875	70.57712792968749	really	RB	advmod	True	15
226	wanted	70.5971279296875	70.8771279296875	wanted	VBD	conj	False	15
227	to	70.8771279296875	70.9971279296875	to	TO	aux	True	15
228	get	71.01712792968749	71.29712792968749	get	VB	xcomp	True	15
229	a	72.07712792968749	72.1471279296875	a	DT	det	True	15
230	full	72.2471279296875	72.43712792968749	full	JJ	amod	True	15
231	face	72.4771279296875	72.7271279296875	face	NN	compound	False	15
232	portrait	72.76712792968749	73.2871279296875	portrait	NN	dobj	False	15
233	with	73.4471279296875	73.57712792968749	with	IN	prep	True	15
234	a	73.57712792968749	73.6271279296875	a	DT	det	True	15
235	wide	73.6671279296875	73.9171279296875	wide	JJ	amod	False	15
236	angle	73.93712792968749	74.2371279296875	angle	NN	compound	False	15
237	lens	74.2771279296875	74.7871279296875	lens	NN	pobj	False	15
238	But	75.3571279296875	75.4571279296875	But	CC	cc	True	16
239	every	75.4971279296875	75.6671279296875	every	DT	det	True	16
240	time	75.7071279296875	75.9271279296875	time	NN	npadvmod	False	16
241	he	75.9271279296875	76.0071279296875	he	PRP	nsubj	True	16
242	got	76.0071279296875	76.1671279296875	got	VBD	relcl	False	16
243	close	76.1671279296875	76.3971279296875	close	JJ	acomp	False	16
244	to	76.4171279296875	76.46712792968749	to	IN	prep	True	16
245	taking	76.54712792968749	76.82712792968749	taking	VBG	pcomp	False	16
246	the	76.8671279296875	76.9171279296875	the	DT	det	True	16
247	shot	76.9571279296875	77.40712792968749	shot	NN	dobj	False	16
248	the	77.51712792968749	77.6271279296875	the	DT	det	True	16
249	monkeys	77.6471279296875	77.9771279296875	monkeys	NNS	nsubj	False	16
250	would	78.01712792968749	78.1171279296875	would	MD	aux	True	16
251	look	78.1371279296875	78.2871279296875	look	VB	ROOT	False	16
252	away	78.3071279296875	78.6671279296875	away	RB	advmod	False	16
253	So	79.5971279296875	79.7071279296875	So	RB	advmod	True	17
254	after	79.7271279296875	79.9171279296875	after	IN	prep	True	17
255	two	80.0371279296875	80.1771279296875	two	CD	nummod	True	17
256	days	80.2371279296875	80.4971279296875	days	NNS	pobj	False	17
257	of	80.5371279296875	80.6271279296875	of	IN	prep	True	17
258	these	80.6271279296875	80.82712792968749	these	DT	pobj	True	17
259	near	80.82712792968749	81.0271279296875	near	JJ	amod	False	17
260	misses	81.0271279296875	81.6171279296875	misses	NNS	dep	False	17
261	he	81.7271279296875	81.82712792968749	he	PRP	nsubj	True	17
